id|airport_code|code
526|YWF|CAN000001000
527|YHZ|CAN000001000
528|YAW|CAN000001000
529|ADL|AUS0SAADL000
530|YED|CAN000EDM000
531|YEG|CAN000EDM000
532|YXD|CAN000EDM000
533|HAJ|DEU000HAJ000
534|KUA|MYS0PGKUA000
535|SYQ|CRI0000SJ000
536|SJO|CRI0000SJ000
537|ACA|MEX000ACA000
538|GDL|MEX000GDL000
539|LPB|BOL000LPB000
540|BSB|BRA000BSB000
541|PLL|BRA000001000
542|MAO|BRA000001000
543|REC|BRA000002000
544|NAP|ITA000NAP000
545|TRN|ITA000TRN000
546|MLA|MLT000000000
547|PMI|ITA000PMF000
548|AGP|ESP000AGP000
549|BHX|GBRENGBIR000
550|ALG|DZA000ALG000
551|CKY|GIN000CNK000
552|KGL|RWA0000KV000
553|DUR|ZAF000DUR000
554|VIR|ZAF000DUR000
555|KRT|SDN000KRT000
556|TUN|TUN000000000
557|ADJ|JOR0000AM000
558|AMM|JOR0000AM000
559|OMS|RUS000OMS000
560|OIT|JPN000044000
561|TAE|KOR027000000
562|NCL|GBRENGNCL000
563|JAX|USA0FLJAX000
564|IND|USA0ININD000
565|LJC|USAAP0002000
566|LOU|USAAP0002000
567|SDF|USAAP0002000
568|ALC|ESP000ALC000
569|MPL|FRA000MPL000
570|MME|GBR000002000
571|LEJ|DEU000LEJ000
572|DUD|NZL000DUD000
573|BUF|USA0NYFFO000
574|OVD|ESP000003000
575|PSA|ITA000PSA000
576|SJJ|BIH000FSA000
577|SVQ|ESP000SVQ000
578|YJV|ESP000004000
579|VLC|ESP000004000
580|ECN|CYP000007000
581|SXB|FRA000001000
582|XER|FRA000001000
583|BLR|IND000BLR000
584|DAD|VNM000001000
585|CGP|BGD000CGP000
586|BRE|DEU0000HB000
587|RAK|MAR000MRK000
588|TLS|FRA000TLS000
589|TRV|IND000002000
590|BPM|IND000003000
591|HYD|IND000003000
592|COK|IND000004000
593|REP|KHM000REP000
594|AOR|MYS000001000
595|IPH|MYS0PKIPH000
596|JHB|MYS0JHJHB000
597|KBR|MYS0KNKBR000
598|BPN|IDN000004000
599|MDC|IDN000005000
600|MES|IDN000006000
